Antecedent,Consequent,Support,Confidence,Coverage,Strength,Lift,Leverage
"우유=1, 열대과일=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 감귤류=1","우유=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 감귤류=1","열대과일=1, 다진고기=1",0.001,0.5,0.002,1,282.25,0.001
"기타 채소=1, 감귤류=1","우유=1, 열대과일=1, 다진고기=1",0.001,0.5,0.002,1,282.25,0.001
"열대과일=1, 다진고기=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 다진고기=1, 감귤류=1","열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","우유=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 다진고기=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 다진고기=1, 감귤류=1","열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","소고기=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","소고기=1, 열대과일=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 감귤류=1","소고기=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 감귤류=1","열대과일=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 감귤류=1","열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 감귤류=1","소고기=1, 열대과일=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 기타 채소=1, 다진고기=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 다진고기=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 다진고기=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 다진고기=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 다진고기=1","열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1","소고기=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 기타 채소=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1","소고기=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 기타 채소=1","열대과일=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 다진고기=1, 감귤류=1","우유=1, 소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 다진고기=1, 감귤류=1","우유=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"우유=1, 다진고기=1, 감귤류=1","소고기=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","우유=1, 소고기=1, 열대과일=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","우유=1, 소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 감귤류=1","우유=1, 열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 기타 채소=1, 감귤류=1","소고기=1, 열대과일=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 열대과일=1, 감귤류=1","우유=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 감귤류=1","소고기=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 감귤류=1","열대과일=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 다진고기=1","우유=1, 소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 다진고기=1","우유=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 다진고기=1","소고기=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 다진고기=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 열대과일=1, 다진고기=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 소고기=1, 다진고기=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 기타 채소=1","우유=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 기타 채소=1","소고기=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 열대과일=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 소고기=1, 기타 채소=1","열대과일=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 다진고기=1, 감귤류=1",뿌리채소=1,0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1",기타 채소=1,0.001,1,0.001,15,75.267,0.001
"다진고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"기타 채소=1, 다진고기=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 기타 채소=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1",다진고기=1,0.001,1,0.001,11,102.636,0.001
"기타 채소=1, 감귤류=1","뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 기타 채소=1, 다진고기=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 다진고기=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 다진고기=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1","우유=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","우유=1, 다진고기=1",0.001,1,0.001,11,102.636,0.001
"우유=1, 기타 채소=1, 감귤류=1","뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","우유=1, 뿌리채소=1",0.001,1,0.001,14,80.643,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","우유=1, 기타 채소=1",0.001,1,0.001,15,75.267,0.001
"우유=1, 다진고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","소고기=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 기타 채소=1, 감귤류=1","뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 감귤류=1","소고기=1, 뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","소고기=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 다진고기=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1","소고기=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 다진고기=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 다진고기=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1","뿌리채소=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 기타 채소=1","소고기=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","우유=1, 소고기=1, 기타 채소=1",0.001,1,0.001,2,564.5,0.001
"소고기=1, 다진고기=1, 감귤류=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"우유=1, 다진고기=1, 감귤류=1","소고기=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","우유=1, 소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 감귤류=1","소고기=1, 뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 감귤류=1","소고기=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","우유=1, 소고기=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","우유=1, 소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 다진고기=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 다진고기=1","소고기=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 다진고기=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 소고기=1, 다진고기=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 다진고기=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","우유=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 기타 채소=1","뿌리채소=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","소고기=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 뿌리채소=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 다진고기=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1","열대과일=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 다진고기=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 다진고기=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 다진고기=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 기타 채소=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1","뿌리채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1","열대과일=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 감귤류=1","열대과일=1, 뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 뿌리채소=1, 감귤류=1","기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","열대과일=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","열대과일=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 다진고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","열대과일=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","우유=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 다진고기=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 다진고기=1","열대과일=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 다진고기=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 열대과일=1, 다진고기=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 다진고기=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 기타 채소=1","우유=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 기타 채소=1","뿌리채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 뿌리채소=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 기타 채소=1","열대과일=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","우유=1, 열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","우유=1, 뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 감귤류=1","열대과일=1, 뿌리채소=1, 다진고기=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 뿌리채소=1, 감귤류=1","우유=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 감귤류=1","열대과일=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","우유=1, 열대과일=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","우유=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 다진고기=1, 감귤류=1","우유=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"우유=1, 다진고기=1, 감귤류=1","열대과일=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 다진고기=1, 감귤류=1","소고기=1, 열대과일=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 다진고기=1, 감귤류=1","소고기=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1, 감귤류=1","열대과일=1, 뿌리채소=1, 기타 채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","소고기=1, 열대과일=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","소고기=1, 뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 감귤류=1","열대과일=1, 뿌리채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 감귤류=1","소고기=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","열대과일=1, 기타 채소=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 다진고기=1, 감귤류=1","소고기=1, 열대과일=1, 뿌리채소=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 다진고기=1","소고기=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 다진고기=1","소고기=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 다진고기=1","열대과일=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 다진고기=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 다진고기=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 다진고기=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 기타 채소=1","뿌리채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 기타 채소=1","소고기=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 뿌리채소=1","기타 채소=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 기타 채소=1","열대과일=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 다진고기=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"롤빵=1, 감귤류=1",다진고기=1,0.001,1,0.001,11,102.636,0.001
"다진고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"롤빵=1, 다진고기=1, 감귤류=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 롤빵=1, 다진고기=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"롤빵=1, 다진고기=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 롤빵=1, 감귤류=1",다진고기=1,0.001,1,0.001,11,102.636,0.001
"롤빵=1, 감귤류=1","우유=1, 다진고기=1",0.001,1,0.001,11,102.636,0.001
"우유=1, 다진고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"다진고기=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"롤빵=1, 다진고기=1, 감귤류=1",소고기=1,0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1, 다진고기=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"롤빵=1, 다진고기=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 감귤류=1",다진고기=1,0.001,1,0.001,11,102.636,0.001
"롤빵=1, 감귤류=1","소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 감귤류=1","롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"다진고기=1, 감귤류=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 다진고기=1, 감귤류=1","우유=1, 소고기=1",0.001,1,0.001,14,80.643,0.001
"소고기=1, 롤빵=1, 감귤류=1","우유=1, 다진고기=1",0.001,1,0.001,11,102.636,0.001
"우유=1, 롤빵=1, 감귤류=1","소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 감귤류=1","우유=1, 소고기=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 감귤류=1","롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 감귤류=1","우유=1, 롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 다진고기=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 롤빵=1, 다진고기=1","소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 다진고기=1","우유=1, 소고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 롤빵=1","다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1","우유=1, 다진고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 소고기=1, 다진고기=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1","우유=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 다진고기=1, 감귤류=1","우유=1, 롤빵=1",0.001,1,0.001,18,62.722,0.001
"우유=1, 다진고기=1, 감귤류=1","소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"다진고기=1, 감귤류=1","우유=1, 소고기=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 다진고기=1",감귤류=1,0.001,1,0.001,17,66.412,0.001
"롤빵=1, 다진고기=1","열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1","다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 다진고기=1","롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"롤빵=1, 다진고기=1, 감귤류=1",열대과일=1,0.001,1,0.001,13,86.846,0.001
"열대과일=1, 롤빵=1, 감귤류=1",다진고기=1,0.001,1,0.001,11,102.636,0.001
"롤빵=1, 감귤류=1","열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"열대과일=1, 감귤류=1","롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 다진고기=1, 감귤류=1",롤빵=1,0.001,1,0.001,18,62.722,0.001
"다진고기=1, 감귤류=1","열대과일=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 다진고기=1, 감귤류=1","우유=1, 열대과일=1",0.001,1,0.001,13,86.846,0.001
"열대과일=1, 롤빵=1, 감귤류=1","우유=1, 다진고기=1",0.001,1,0.001,11,102.636,0.001
"우유=1, 롤빵=1, 감귤류=1","열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 감귤류=1","우유=1, 열대과일=1, 다진고기=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 열대과일=1, 감귤류=1","롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 감귤류=1","우유=1, 롤빵=1, 다진고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 다진고기=1","우유=1, 감귤류=1",0.001,1,0.001,17,66.412,0.001
"우유=1, 롤빵=1, 다진고기=1","열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 다진고기=1","우유=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 열대과일=1, 롤빵=1","다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"열대과일=1, 롤빵=1","우유=1, 다진고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 열대과일=1, 다진고기=1","롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
